"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25945","Should create duration modification measure with event duration, constant, and custom calculation types","chromium","Fri Mar 06 13:44:32 UTC 2026","passed","Fri Mar 06 13:44:57 UTC 2026","","measures/duration-modification.spec.ts","",""
"","12386","Should create/explore/delete a results folder","chromium","Fri Mar 06 13:46:35 UTC 2026","passed","Fri Mar 06 13:46:47 UTC 2026","","results/results-list.spec.ts","",""
"","82880","Create and execute a drug pathways exploration and validate/download results","chromium","Fri Mar 06 13:40:56 UTC 2026","passed","Fri Mar 06 13:42:19 UTC 2026","","analysis/explorations/drug-pathways.spec.ts","",""
"","51504","Verifies Read Only global role permissions","chromium","Fri Mar 06 13:38:13 UTC 2026","passed","Fri Mar 06 13:39:04 UTC 2026","","account/permissioning.spec.ts","",""
"","17603","Create/Rename/Duplicate/Import/Export/Delete Measure Library Folders","chromium","Fri Mar 06 13:43:15 UTC 2026","passed","Fri Mar 06 13:43:33 UTC 2026","","lists/measures-list.spec.ts","",""
"","22874","Create a valid Ever/Always/Never Flag measure by search","chromium","Fri Mar 06 13:44:49 UTC 2026","passed","Fri Mar 06 13:45:12 UTC 2026","","measures/ever-always-never.spec.ts","",""
"","149441","Should be able to view, manage and download Comparative Effectiveness Analysis results","chromium","Fri Mar 06 13:38:12 UTC 2026","passed","Fri Mar 06 13:40:42 UTC 2026","","analysis/analysis-comparative-effectiveness.spec.ts","",""
"","15601","Creates recategorization male base measure","base-measures-1","Fri Mar 06 13:33:20 UTC 2026","passed","Fri Mar 06 13:33:35 UTC 2026","","setup/base-measures/1/base-recategorization.setup.ts","",""
"","12793","should allow the component to be replaced","chromium","Fri Mar 06 13:44:09 UTC 2026","passed","Fri Mar 06 13:44:21 UTC 2026","","measures/cost-inflation-adjusted.spec.ts","",""
"","10770","Create a basic board","chromium","Fri Mar 06 13:41:05 UTC 2026","passed","Fri Mar 06 13:41:15 UTC 2026","","boards/board.spec.ts","",""
"","12894","Should be able to add and delete attributes on the Cross-Tabs tab","chromium","Fri Mar 06 13:43:43 UTC 2026","passed","Fri Mar 06 13:43:56 UTC 2026","","measures/common/event-exploration.spec.ts","",""
"","5794","Should return to homepage using topnav home","chromium","Fri Mar 06 13:42:46 UTC 2026","passed","Fri Mar 06 13:42:52 UTC 2026","","homepage.spec.ts","",""
"","13449","Create adherence measure using Drug Computation measure with multiple drug groups for evaluation","base-measures-3","Fri Mar 06 13:33:50 UTC 2026","passed","Fri Mar 06 13:34:03 UTC 2026","","setup/base-measures/3/adherence-measure.setup.ts","",""
"","109744","Execute a Meta-Analysis Plan","chromium","Fri Mar 06 13:39:08 UTC 2026","passed","Fri Mar 06 13:40:57 UTC 2026","","analysis/analysis-meta.spec.ts","",""
"","16235","Should allow setting the Start/End Flag options","chromium","Fri Mar 06 13:46:03 UTC 2026","passed","Fri Mar 06 13:46:19 UTC 2026","","measures/start-end-flag.spec.ts","",""
"","10026","Should be able to create a descriptive cohort from an external source","chromium","Fri Mar 06 13:41:47 UTC 2026","passed","Fri Mar 06 13:41:57 UTC 2026","","cohort-definitions/cohort-definitions-external-descriptive.spec.ts","",""
"","16640","Show 1 additional day options when ""EXACTLY"" is selected","chromium","Fri Mar 06 13:45:46 UTC 2026","passed","Fri Mar 06 13:46:03 UTC 2026","","measures/sequence-advanced.spec.ts","",""
"","9425","authenticate","auth","Fri Mar 06 13:33:00 UTC 2026","passed","Fri Mar 06 13:33:09 UTC 2026","","setup/auth.setup.ts","",""
"","14240","Should persist an incomplete comparative time cohort definition","chromium","Fri Mar 06 13:41:17 UTC 2026","passed","Fri Mar 06 13:41:31 UTC 2026","","cohort-definitions/cohort-definitions-comparative-time.spec.ts","",""
"","20633","Should modify exclusion criteria - Descriptive Cohort (Person-Time)","chromium","Fri Mar 06 13:42:19 UTC 2026","passed","Fri Mar 06 13:42:40 UTC 2026","","cohort-definitions/common/cohort-definitions-exclusions.spec.ts","",""
"","13121","Should update cohort enrollment measure","chromium","Fri Mar 06 13:41:53 UTC 2026","passed","Fri Mar 06 13:42:07 UTC 2026","","cohort-definitions/common/cohort-definitions-enrollment.spec.ts","",""
"","17609","Add multiple sequences","chromium","Fri Mar 06 13:45:30 UTC 2026","passed","Fri Mar 06 13:45:48 UTC 2026","","measures/sequence-advanced.spec.ts","",""
"","11891","Should cancel preview counts generation","chromium","Fri Mar 06 13:43:56 UTC 2026","passed","Fri Mar 06 13:44:08 UTC 2026","","measures/common/preview-counts.spec.ts","",""
"","24803","Configure custom adherence measure evaluation parameters related to time length","chromium","Fri Mar 06 13:43:25 UTC 2026","passed","Fri Mar 06 13:43:49 UTC 2026","","measures/adherence.spec.ts","",""
"","40242","should be able to publish a custom output","chromium","Fri Mar 06 13:42:35 UTC 2026","passed","Fri Mar 06 13:43:15 UTC 2026","","custom-analysis/custom-analysis.spec.ts","",""
"","20355","Bulk edit analysis plans","chromium","Fri Mar 06 13:42:51 UTC 2026","passed","Fri Mar 06 13:43:12 UTC 2026","","lists/analysis-plans-list.spec.ts","",""
"","14819","Creates Diabetes base measure","base-measures-1","Fri Mar 06 13:33:20 UTC 2026","passed","Fri Mar 06 13:33:34 UTC 2026","","setup/base-measures/1/event-filter-measures.setup.ts","",""
"","9659","Creates Drug computation base measure","base-measures-2","Fri Mar 06 13:33:38 UTC 2026","passed","Fri Mar 06 13:33:48 UTC 2026","","setup/base-measures/2/drug-computation-measure.setup.ts","",""
"","14270","Should be able to create a basic sequence measure","chromium","Fri Mar 06 13:45:56 UTC 2026","passed","Fri Mar 06 13:46:11 UTC 2026","","measures/sequence-basic.spec.ts","",""
"","16353","Allow the event to be moved down in the sequence","chromium","Fri Mar 06 13:45:43 UTC 2026","passed","Fri Mar 06 13:45:59 UTC 2026","","measures/sequence-advanced.spec.ts","",""
"","10249","Should configure Included Person-Time","chromium","Fri Mar 06 13:41:37 UTC 2026","passed","Fri Mar 06 13:41:47 UTC 2026","","cohort-definitions/cohort-definitions-descriptive-time.spec.ts","",""
